Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE
2019-06-20,167.6866455078125,83.5767822265625,72.86334228515625,260.32998657226557,184.17578125,45.37159729003906,302.1099853515625,30.01000022888184,152.19219970703125,16.378843307495114,54.05352401733398,72.5108871459961,216.0165863037109,79.87999725341797,59.728981018066406,68.04191589355469,144.9315643310547,128.83000183105472,295.6700134277344,107.08768463134766
2019-06-21,167.11785888671875,83.63581848144531,73.2725830078125,256.04000854492193,183.22784423828125,45.61003112792969,299.3299865722656,29.10000038146973,152.1623992919922,16.21437644958496,53.67258834838867,72.53065490722656,216.10415649414062,78.55000305175781,61.06678009033203,66.91587829589844,140.43659973144528,132.38999938964844,283.55999755859375,106.67223358154295
2019-06-24,167.14678955078125,83.35047149658203,72.96565246582031,253.1699981689453,183.77093505859372,46.8419303894043,299.8699951171875,29.26000022888184,151.25880432128906,16.08860969543457,53.74095916748047,72.33287048339844,217.56341552734372,78.73999786376953,61.4012336730957,66.59275817871094,140.76527404785156,126.9800033569336,282.1600036621094,106.72168731689452
2019-06-25,165.84530639648438,82.88800811767578,61.10699081420898,257.0599975585937,182.57614135742188,45.89813613891602,287.9700012207031,28.86000061035156,153.41354370117188,16.10795783996582,53.67258834838867,71.70982360839844,218.59458923339844,77.80999755859375,60.9290657043457,66.37734222412111,137.43028259277344,125.1500015258789,276.01998901367193,106.40515899658205
2019-06-26,165.70071411132812,81.6285629272461,63.24619674682617,251.6199951171875,181.0061187744141,46.4246711730957,288.7200012207031,29.920000076293945,148.87567138671875,15.788700103759766,52.97909545898438,71.34391021728516,217.84552001953125,78.61000061035156,60.8995590209961,67.71878814697266,134.27897644042972,125.33999633789062,268.07998657226557,106.42493438720705
2019-06-27,165.33436584472656,82.34684753417969,65.10638427734375,254.92999267578125,180.7000274658203,46.97107696533203,293.2300109863281,30.739999771118164,150.64317321777344,16.00153923034668,53.28188705444336,72.38231658935547,217.4272003173828,79.41999816894531,62.07997131347656,68.0712890625,136.37236022949222,126.11000061035156,269.95001220703125,107.5921630859375
2019-06-28,167.10821533203125,82.75025939941406,67.63623809814453,260.489990234375,182.4477844238281,46.8916015625,294.6499938964844,30.3700008392334,153.0560760498047,16.21437644958496,53.53584289550781,73.84597778320312,221.3681488037109,80.13999938964844,62.86691284179688,68.94274139404297,137.375244140625,130.97999572753906,273.70001220703125,109.35289001464844
2019-07-01,168.2361602783203,83.13400268554688,68.26869964599611,265.01998901367193,184.52137756347656,47.18964004516602,300.9700012207031,31.20000076293945,155.4888458251953,16.224052429199222,54.52235794067383,75.10869598388672,223.76402282714844,80.37999725341797,62.6701774597168,68.86441040039061,139.41996765136722,131.27999877929688,271.67999267578125,110.3123779296875
2019-07-02,167.76376342773438,83.58661651611328,69.04067230224611,261.489990234375,186.22964477539062,47.66650390625,301.3900146484375,31.239999771118164,158.66632080078125,16.398189544677734,54.90329360961914,74.94020080566406,225.18197631835938,80.45999908447266,62.06029510498047,68.41398620605469,140.47154235839844,134.08000183105472,270.89999389648443,109.06603240966795
2019-07-03,168.6892547607422,84.26554870605469,69.71962738037111,261.32998657226557,188.56983947753903,48.342063903808594,305.70001220703125,31.190000534057614,159.50042724609375,16.71744728088379,55.52841567993164,76.11966705322266,226.28700256347656,81.27999877929688,62.79805374145508,70.0491943359375,141.96124267578125,133.35000610351562,275.0,109.31332397460938
2019-07-05,165.81637573242188,84.049072265625,67.88735198974611,261.47000122070307,188.9845733642578,47.83539581298828,303.9800109863281,31.5,159.490478515625,16.562658309936527,55.48935317993164,75.07896423339844,225.48513793945312,81.69999694824219,63.0243034362793,69.04065704345703,141.1822967529297,130.30000305175778,273.29000854492193,109.78811645507812
2019-07-08,163.10740661621094,83.72437286376953,66.24109649658203,257.77999877929693,187.91815185546875,46.16637420654297,302.9200134277344,32.040000915527344,157.0775909423828,16.591678619384766,55.33306884765625,73.1858901977539,223.26528930664062,81.19000244140625,63.62434768676758,68.72732543945311,141.90281677246094,125.3000030517578,272.239990234375,108.78907012939452
2019-07-09,159.7428741455078,83.90148162841797,66.25970458984375,257.29998779296875,188.68833923339844,46.06702423095703,304.20001220703125,33.150001525878906,154.40650939941406,16.504610061645508,55.215858459472656,72.79933166503906,221.05523681640625,81.36000061035156,62.65050506591797,69.14837646484375,144.08383178710938,125.72000122070312,275.41000366210943,108.97698974609376
2019-07-10,159.7428741455078,84.00971984863281,66.64103698730469,255.80999755859372,189.30056762695312,46.53395462036133,306.9800109863281,33.790000915527344,155.3299560546875,16.4368896484375,55.19631958007813,72.72004699707031,221.26058959960938,81.7300033569336,61.9127426147461,69.02106475830078,144.99908447265625,124.37000274658205,286.6499938964844,108.1362075805664
2019-07-11,162.96279907226562,84.3934555053711,66.25970458984375,266.08999633789057,192.2233428955078,47.03068542480469,307.6000061035156,33.060001373291016,155.19093322753906,16.407867431640625,55.04980850219727,71.10448455810547,222.7274475097656,82.29000091552734,62.27670669555664,69.10919952392578,141.41598510742188,121.48999786376952,282.5899963378906,108.08674621582031
2019-07-12,167.10821533203125,82.88237762451172,66.36357116699219,262.69000244140625,193.74400329589844,46.8916015625,309.4200134277344,33.209999084472656,157.46484375,16.523958206176758,55.56748580932617,71.01529693603516,222.1407012939453,82.45999908447266,63.19152450561523,71.1164779663086,141.86387634277344,120.81999969482422,283.9100036621094,109.24407958984376
2019-07-15,166.62619018554688,82.77373504638672,66.35411834716797,260.57998657226557,192.8651885986328,47.348594665527344,308.760009765625,34.389999389648445,157.80245971679688,16.591678619384766,55.25492477416992,69.92502593994139,222.6296539306641,83.47000122070312,62.325889587402344,70.91085815429688,141.5036163330078,123.04000091552734,284.29998779296875,109.56061553955078
2019-07-16,170.14498901367188,82.13177490234375,65.30598449707031,253.75,191.8086242675781,46.68297576904297,305.70001220703125,33.84999847412109,160.6224822998047,16.727123260498047,54.805625915527344,69.33033752441406,222.08204650878903,83.37000274658203,64.34243774414061,71.52772521972656,139.27389526367188,122.81999969482422,281.07000732421875,109.58039855957031
2019-07-17,168.39039611816406,84.69963073730469,64.51279449462889,260.0599975585937,191.3741455078125,46.375,309.3900146484375,33.59999847412109,156.56124877929688,17.075401306152347,54.3465461730957,68.97352600097656,221.42681884765625,83.83000183105469,62.73903274536133,71.12627410888672,139.2252197265625,123.41000366210938,283.9100036621094,107.6416244506836
2019-07-18,166.83827209472656,86.6749038696289,64.44669342041016,262.76998901367193,192.37147521972656,45.42127227783203,310.0799865722656,33.0,156.78961181640625,16.95931053161621,54.82515335083008,69.50874328613281,220.5564727783203,83.5,63.3095703125,71.47876739501953,140.06260681152344,123.26000213623048,283.3699951171875,108.25491333007812
